frame,frame_ms,render_ms,input_ms,movement_ms,npc_ms,combat_ms,animation_ms,npcs,corpses,drops,avatar_moved
118,30.010,14.048,0.001,0.012,0.088,0.006,0.003,60,0,6,true
119,37.992,21.607,0.001,0.004,0.127,0.007,0.002,60,0,6,false
120,29.992,14.623,0.001,0.013,0.043,0.004,0.002,60,0,6,true
121,28.997,13.558,0.001,0.004,0.058,0.007,0.002,60,0,6,false
122,28.996,13.255,0.001,0.017,0.051,0.006,0.003,60,0,6,true
123,28.994,13.762,0.001,0.004,0.047,0.006,0.002,60,0,6,false
124,27.996,12.856,0.001,0.014,0.041,0.005,0.002,60,0,6,true
125,28.991,13.648,0.001,0.004,0.060,0.006,0.002,60,0,6,false
126,30.013,13.116,0.001,0.013,0.049,0.007,0.003,60,0,6,true
127,34.998,18.589,0.001,0.003,0.061,0.009,0.002,60,0,6,false
128,31.001,15.188,0.001,0.013,0.085,0.005,0.004,60,0,6,true
129,31.115,15.532,0.002,0.004,0.054,0.008,0.003,60,0,6,false
130,30.589,13.383,0.001,0.230,0.051,0.008,0.003,60,0,6,false
131,30.993,14.109,0.010,0.004,0.054,0.008,0.002,60,0,6,false
132,29.509,14.166,0.001,0.002,0.030,0.003,0.002,60,0,6,false
133,29.319,13.097,0.001,0.002,0.034,0.004,0.002,60,0,6,false
134,29.017,13.750,0.001,0.001,0.031,0.003,0.003,60,0,6,false
135,30.688,15.440,0.001,0.001,0.034,0.004,0.002,60,0,6,false
136,30.844,15.290,0.001,0.001,0.061,0.003,0.002,60,0,6,false
137,28.931,13.138,0.001,0.001,0.029,0.003,0.001,60,0,6,false
138,28.847,13.180,0.012,0.001,0.027,0.003,0.001,60,0,6,false
139,28.339,13.181,0.003,0.001,0.026,0.002,0.001,60,0,6,false
140,28.918,13.865,0.000,0.001,0.028,0.003,0.001,60,0,6,false
141,28.230,13.052,0.000,0.001,0.027,0.003,0.001,60,0,6,false
142,29.038,12.949,0.000,0.001,0.025,0.002,0.001,60,0,6,false
143,29.392,13.851,0.006,0.012,0.027,0.003,0.003,60,0,6,true
144,31.378,15.770,0.000,0.002,0.059,0.004,0.003,60,0,6,false
145,30.923,15.542,0.000,0.001,0.031,0.003,0.002,60,0,6,false
146,30.068,14.106,0.000,0.001,0.036,0.003,0.002,60,0,6,false
147,30.007,14.275,0.001,0.003,0.052,0.004,0.003,60,0,6,false
148,31.061,15.883,0.000,0.001,0.026,0.003,0.002,60,0,6,false
149,31.022,15.571,0.000,0.001,0.025,0.003,0.001,60,0,6,false
150,31.480,15.623,0.005,0.011,0.028,0.003,0.003,60,0,6,true
151,32.668,15.775,0.000,0.002,0.023,0.003,0.001,60,0,6,false
152,28.350,13.093,0.000,0.008,0.086,0.003,0.002,60,0,6,true
153,30.308,13.853,0.000,0.002,0.034,0.003,0.002,60,0,6,false
154,31.029,15.650,0.000,0.007,0.054,0.002,0.003,60,0,6,true
155,30.907,15.704,0.000,0.002,0.040,0.002,0.001,60,0,6,false
156,30.027,13.338,0.000,0.007,0.024,0.002,0.002,60,0,6,true
157,28.685,13.422,0.000,0.004,0.026,0.002,0.001,60,0,6,false
158,28.564,13.330,0.000,0.006,0.023,0.002,0.018,60,0,6,true
159,28.629,13.277,0.000,0.002,0.024,0.002,0.006,60,0,6,false
160,30.379,14.723,0.000,0.004,0.050,0.002,0.001,60,0,6,false
161,29.021,13.394,0.000,0.001,0.027,0.002,0.003,60,0,6,false
162,32.003,16.119,0.000,0.001,0.025,0.002,0.001,60,0,6,false
163,28.871,13.372,0.000,0.001,0.026,0.002,0.003,60,0,6,false
164,31.023,15.762,0.001,0.002,0.034,0.003,0.002,60,0,6,false
165,31.749,16.059,0.000,0.001,0.025,0.002,0.002,60,0,6,false
166,30.021,14.812,0.000,0.001,0.028,0.003,0.002,60,0,6,false
167,30.998,15.612,0.000,0.002,0.035,0.004,0.002,60,0,6,false
168,28.802,13.346,0.000,0.001,0.029,0.003,0.002,60,0,6,false
169,28.827,13.318,0.000,0.001,0.034,0.003,0.002,60,0,6,false
170,29.175,13.486,0.000,0.002,0.027,0.003,0.002,60,0,6,false
171,29.035,13.368,0.000,0.002,0.029,0.003,0.002,60,0,6,false
172,32.014,16.053,0.000,0.001,0.026,0.003,0.002,60,0,6,false
173,31.005,15.835,0.000,0.001,0.025,0.003,0.001,60,0,6,false
174,29.052,13.506,0.000,0.001,0.026,0.002,0.002,60,0,6,false
175,33.017,16.986,0.000,0.002,0.041,0.004,0.002,60,0,6,false
176,31.029,15.758,0.001,0.002,0.032,0.003,0.002,60,0,6,false
177,31.014,15.787,0.000,0.001,0.055,0.005,0.002,60,0,6,false
178,31.013,15.727,0.000,0.001,0.022,0.003,0.002,60,0,6,false
179,30.380,13.409,0.007,0.011,0.023,0.002,0.002,60,0,6,true
180,31.556,15.588,0.000,0.002,0.018,0.002,0.002,60,0,6,false
181,31.235,15.351,0.000,0.008,0.024,0.003,0.002,60,0,6,true
182,31.012,15.597,0.000,0.002,0.022,0.002,0.002,60,0,6,false
183,30.972,15.655,0.000,0.007,0.018,0.002,0.002,60,0,6,true
184,28.958,13.025,0.000,0.002,0.021,0.002,0.001,60,0,6,false
185,28.285,12.910,0.000,0.006,0.019,0.002,0.002,60,0,6,true
186,27.921,12.724,0.000,0.002,0.020,0.002,0.001,60,0,6,false
187,27.909,12.871,0.000,0.006,0.021,0.002,0.002,60,0,6,true
188,28.479,13.003,0.000,0.002,0.022,0.003,0.001,60,0,6,false
189,28.475,12.847,0.000,0.001,0.022,0.002,0.001,60,0,6,false
190,28.782,12.781,0.000,0.001,0.019,0.002,0.002,60,0,6,false
191,30.840,15.305,0.000,0.001,0.018,0.002,0.001,60,0,6,false
192,28.663,12.984,0.000,0.001,0.038,0.003,0.001,60,0,6,false
193,28.800,12.962,0.000,0.001,0.023,0.003,0.001,60,0,6,false
194,28.871,13.023,0.006,0.009,0.020,0.002,0.002,60,0,6,true
195,28.230,13.058,0.000,0.002,0.018,0.002,0.001,60,0,6,false
196,28.345,13.213,0.000,0.008,0.019,0.003,0.002,60,0,6,true
197,28.854,13.165,0.000,0.002,0.038,0.003,0.001,60,0,6,false
198,29.012,13.235,0.000,0.011,0.061,0.006,0.002,60,0,6,true
199,29.485,13.736,0.000,0.002,0.023,0.003,0.002,60,0,6,false
200,30.235,14.350,0.000,0.007,0.036,0.003,0.003,60,0,6,true
201,32.509,15.537,0.000,0.002,0.026,0.003,0.002,60,0,6,false
202,31.169,15.492,0.000,0.008,0.023,0.003,0.002,60,0,6,true
203,32.765,15.834,0.000,0.002,0.018,0.003,0.002,60,0,6,false
204,30.675,15.528,0.000,0.008,0.034,0.003,0.002,60,0,6,true
205,30.353,13.806,0.000,0.002,0.022,0.003,0.002,60,0,6,false
206,28.661,13.336,0.000,0.006,0.018,0.003,0.002,60,0,6,true
207,28.539,13.267,0.000,0.002,0.021,0.003,0.001,60,0,6,false
208,28.287,13.248,0.000,0.006,0.021,0.002,0.002,60,0,6,true
209,29.021,13.134,0.000,0.002,0.031,0.004,0.001,60,0,6,false
210,28.673,13.013,0.000,0.001,0.024,0.003,0.002,60,0,6,false
211,28.289,13.048,0.000,0.002,0.024,0.006,0.001,60,0,6,false
212,28.543,13.415,0.000,0.002,0.028,0.004,0.001,60,0,6,false
213,28.426,13.393,0.000,0.001,0.020,0.003,0.001,60,0,6,false
214,28.715,13.356,0.000,0.001,0.019,0.003,0.001,60,0,6,false
215,28.612,13.358,0.000,0.001,0.019,0.002,0.001,60,0,6,false
216,28.413,13.217,0.000,0.001,0.024,0.003,0.001,60,0,6,false
217,28.596,13.318,0.000,0.001,0.025,0.003,0.001,60,0,6,false
218,28.634,13.281,0.000,0.001,0.020,0.003,0.001,60,0,6,false
219,29.328,13.548,0.000,0.001,0.019,0.003,0.001,60,0,6,false
220,28.953,12.984,0.000,0.001,0.021,0.003,0.001,60,0,6,false
221,28.419,13.175,0.000,0.001,0.019,0.003,0.001,60,0,6,false
222,28.653,13.312,0.000,0.001,0.020,0.018,0.001,60,0,6,false
223,29.269,13.267,0.006,0.010,0.026,0.021,0.002,60,0,6,true
224,29.617,13.686,0.000,0.002,0.023,0.003,0.003,60,0,6,false
225,31.110,15.469,0.000,0.009,0.019,0.002,0.002,60,0,6,true
226,30.593,15.373,0.000,0.002,0.019,0.002,0.002,60,0,6,false
227,28.709,13.268,0.000,0.008,0.024,0.002,0.002,60,0,6,true
228,29.021,13.025,0.000,0.002,0.017,0.002,0.001,60,0,6,false
229,28.487,13.035,0.001,0.007,0.020,0.002,0.002,60,0,6,true
230,29.020,13.185,0.000,0.002,0.024,0.003,0.001,60,0,6,false
231,28.391,12.786,0.000,0.001,0.019,0.002,0.003,60,0,6,false
232,32.272,16.139,0.001,0.013,0.158,0.004,0.016,60,0,6,false
233,30.677,15.134,0.001,0.052,0.063,0.003,0.010,60,0,6,false
234,29.007,12.978,0.000,0.001,0.069,0.002,0.001,60,0,6,false
235,29.937,12.878,0.000,0.002,0.051,0.003,0.002,60,0,6,false
236,32.101,15.081,0.000,0.001,0.025,0.002,0.001,60,0,6,false
237,31.448,15.816,0.000,0.001,0.025,0.002,0.001,60,0,6,false
238,30.667,14.939,0.000,0.001,0.023,0.002,0.001,60,0,6,false
239,28.827,12.841,0.000,0.001,0.023,0.002,0.001,60,0,6,false
240,29.485,12.755,0.000,0.001,0.038,0.002,0.001,60,0,6,false
241,30.758,15.167,0.007,0.039,0.023,0.002,0.009,60,0,6,true
242,28.997,13.113,0.000,0.001,0.025,0.002,0.001,60,0,6,false
243,28.376,12.957,0.000,0.030,0.024,0.002,0.001,60,0,6,true
244,29.321,12.792,0.000,0.001,0.022,0.002,0.001,60,0,6,false
245,28.714,13.105,0.005,0.007,0.036,0.002,0.001,60,0,6,true
246,28.037,12.937,0.000,0.002,0.024,0.002,0.001,60,0,6,false
247,29.323,12.859,0.000,0.007,0.022,0.002,0.001,60,0,6,true
248,32.005,15.963,0.000,0.002,0.047,0.002,0.001,60,0,6,false
249,30.475,15.102,0.000,0.008,0.051,0.002,0.001,60,0,6,true
250,27.839,12.515,0.000,0.001,0.024,0.002,0.001,60,0,6,false
251,29.008,12.584,0.000,0.007,0.023,0.002,0.001,60,0,6,true
252,28.035,12.480,0.000,0.001,0.023,0.002,0.001,60,0,6,false
253,31.185,14.757,0.000,0.007,0.021,0.002,0.001,60,0,6,true
254,30.025,14.487,0.000,0.001,0.022,0.002,0.001,60,0,6,false
255,30.019,14.611,0.000,0.001,0.021,0.002,0.001,60,0,6,false
256,30.311,14.624,0.000,0.001,0.022,0.002,0.001,60,0,6,false
257,31.070,14.857,0.000,0.001,0.023,0.002,0.001,60,0,6,false
258,29.964,14.625,0.000,0.001,0.022,0.002,0.001,60,0,6,false
259,29.980,14.595,0.000,0.001,0.021,0.002,0.001,60,0,6,false
260,27.963,12.417,0.000,0.001,0.022,0.002,0.001,60,0,6,false
261,28.202,12.398,0.000,0.001,0.023,0.002,0.001,60,0,6,false
262,27.370,12.254,0.000,0.001,0.022,0.002,0.001,60,0,6,false
263,27.273,12.213,0.000,0.001,0.025,0.002,0.001,60,0,6,false
